City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,77.02,overcast clouds,-23.1203,-134.9692,People ThankYou
2,Marawi,PH,71.65,overcast clouds,7.9986,124.2928,Derogongan Residence
10,Puerto Ayora,EC,75.02,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Lucapa,AO,66.24,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
16,Mar Del Plata,AR,77.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
17,Salalah,OM,68.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
18,Hobart,AU,77.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
20,Busselton,AU,73.09,clear sky,-33.65,115.3333,Observatory Guest House
23,Majene,ID,79.84,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
24,San Cristobal,VE,73.58,few clouds,7.7669,-72.225,Posada Villaven C.A.
26,Bredasdorp,ZA,66.27,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
27,Bubaque,GW,78.98,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
34,Butaritari,KI,82.56,broken clouds,3.0707,172.7902,Isles Sunset Lodge
37,Cape Town,ZA,68.34,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
39,Faanui,PF,80.64,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
40,Geraldton,AU,77.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
43,Vao,NC,79.2,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
45,Conceicao Do Araguaia,BR,71.98,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
46,Waingapu,ID,81.82,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
49,Takoradi,GH,79.07,broken clouds,4.8845,-1.7554,Raybow International Hotel
51,Dicabisagan,PH,79.0,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
53,Hilo,US,82.13,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
56,Sorong,ID,82.47,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
58,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
62,Carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
63,Aracati,BR,77.85,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
66,Katherine,AU,82.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
69,Laguna,US,66.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
74,Kavieng,PG,83.17,light rain,-2.5744,150.7967,Nusa Island Retreat
78,Bonthe,SL,77.32,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
79,Hermanus,ZA,66.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
80,New Norfolk,AU,76.66,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
85,Nikki,BJ,73.67,scattered clouds,9.9401,3.2108,Hotel John
88,Cidreira,BR,71.96,broken clouds,-30.1811,-50.2056,Hotel Castelo
90,Arraial Do Cabo,BR,74.95,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
91,Santa Rosa,PH,85.08,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
92,Port Alfred,ZA,68.9,scattered clouds,-33.5906,26.891,The Halyards Hotel
95,Vanimo,PG,78.3,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
98,Morondava,MG,78.31,clear sky,-20.2833,44.2833,La Case Bambou
99,Vaini,TO,81.72,overcast clouds,-21.2,-175.2,Keleti Beach Resort
100,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
108,Kaeo,NZ,73.33,broken clouds,-35.1,173.7833,Bushido Lodge
109,Progreso,MX,68.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
110,Coromandel,BR,67.01,overcast clouds,-18.4733,-47.2003,Hotel Dona Adélia
111,Biak,ID,78.85,overcast clouds,-0.9131,122.8766,Penginapan Kim
112,Kirakira,SB,84.45,overcast clouds,-10.4544,161.9205,SanBiz Lodge
118,Cotonou,BJ,78.48,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
119,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
121,Ilheus,BR,75.02,light rain,-14.7889,-39.0494,Barravento Hotel
122,Cabo San Lucas,MX,77.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
124,Ballina,AU,80.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
126,Atar,MR,73.72,overcast clouds,20.5169,-13.0499,Oumou Elghoura
128,Ahipara,NZ,75.49,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
132,Munoz,PH,76.8,clear sky,15.7161,120.9031,Carahauz Boutique Hotel and Cafe
135,Broken Hill,AU,82.56,few clouds,-31.95,141.4333,Royal Exchange Hotel
136,Esperance,AU,72.9,clear sky,-33.8667,121.9,Hospitality Esperance
143,Port Lincoln,AU,69.78,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
146,Saposoa,PE,84.81,overcast clouds,-6.934,-76.7716,Hostal Primavera
147,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
152,Bengkulu,ID,76.26,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
153,Atambua,ID,75.92,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
156,Atuona,PF,77.74,light rain,-9.8,-139.0333,Villa Enata
163,Yantzaza,EC,71.87,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
164,San Pedro,PH,82.31,clear sky,14.35,121.0167,Villa Veronica Resort Private Pool
171,Savannah Bight,HN,71.65,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
176,Acapulco,MX,82.22,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
