,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kabalo,CD,-6.05,26.9167,69.84,95,100,1.25,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,77.02,72,100,8.16,overcast clouds
2,Marawi,PH,7.9986,124.2928,71.65,88,94,1.19,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,51.91,50,0,6.91,clear sky
4,Havelock,US,34.8791,-76.9013,33.78,56,0,5.01,clear sky
5,Tuatapere,NZ,-46.1333,167.6833,60.19,88,100,4.99,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,44.26,87,100,4.61,light rain
7,Teknaf,BD,20.8624,92.3058,54.82,74,0,7.9,clear sky
8,Severo-Yeniseyskiy,RU,60.3725,93.0408,-6.16,100,96,3.42,overcast clouds
9,Kruisfontein,ZA,-34.0033,24.7314,58.89,92,1,3.27,clear sky
10,Puerto Ayora,EC,-0.7393,-90.3518,75.02,78,39,6.64,scattered clouds
11,Pietrosani,RO,45.1833,24.85,25.18,48,58,2.33,broken clouds
12,San Quintin,MX,30.4833,-115.95,63.86,40,4,8.46,clear sky
13,Lucapa,AO,-8.4192,20.7447,66.24,95,100,2.89,light rain
14,Khatanga,RU,71.9667,102.5,-5.76,98,100,7.61,overcast clouds
15,Sikonge,TZ,-5.6333,32.7667,64.18,89,100,3.31,overcast clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,77.02,61,0,17.27,clear sky
17,Salalah,OM,17.0151,54.0924,68.09,73,0,4.61,clear sky
18,Hobart,AU,-42.8794,147.3294,77.02,61,75,1.99,broken clouds
19,Tasiilaq,GL,65.6145,-37.6368,17.76,77,99,5.97,light snow
20,Busselton,AU,-33.65,115.3333,73.09,70,10,13.87,clear sky
21,Chernyshevsk,RU,52.5243,117.0174,-24.75,99,26,1.43,scattered clouds
22,Qaqortoq,GL,60.7167,-46.0333,12.7,90,100,16.26,snow
23,Majene,ID,-3.5403,118.9707,79.84,75,100,1.63,overcast clouds
