City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-01-26 18:46:45,-33.9258,18.4232,70.21,78,20,5.99
1,Nome,US,2022-01-26 18:50:17,64.5011,-165.4064,-18.89,76,0,0.0
2,Albany,US,2022-01-26 18:49:12,42.6001,-73.9662,21.45,44,4,5.01
3,Hualmay,PE,2022-01-26 18:51:23,-11.0964,-77.6139,75.67,72,61,11.45
4,Busselton,AU,2022-01-26 18:51:24,-33.65,115.3333,57.94,88,16,11.25
5,Puerto Ayora,EC,2022-01-26 18:51:26,-0.7393,-90.3518,84.16,75,69,9.8
6,Belaya Gora,RU,2022-01-26 18:51:27,68.5333,146.4167,-38.9,100,51,5.68
7,Perevoz,RU,2022-01-26 18:51:29,55.5961,44.5446,4.93,98,94,4.14
8,Saskylakh,RU,2022-01-26 18:51:30,71.9167,114.0833,-2.97,87,84,6.38
9,Chakwal,PK,2022-01-26 18:51:32,32.9334,72.8585,45.16,36,0,2.89
10,Port Elizabeth,ZA,2022-01-26 18:51:33,-33.918,25.5701,70.11,73,100,8.05
11,Vaini,TO,2022-01-26 18:51:33,-21.2,-175.2,71.76,94,20,2.3
12,Stodolishche,RU,2022-01-26 18:51:34,54.1859,32.6492,-3.84,100,100,1.83
13,Dutse,NG,2022-01-26 18:51:35,11.7594,9.3392,67.84,18,0,9.22
14,Dauphin,CA,2022-01-26 18:50:20,51.1494,-100.0502,28.54,74,100,17.27
15,Rikitea,PF,2022-01-26 18:51:41,-23.1203,-134.9692,78.24,78,3,19.13
16,Basco,PH,2022-01-26 18:51:42,20.4487,121.9702,74.82,81,100,23.22
17,Dwarka,IN,2022-01-26 18:51:43,22.2394,68.9678,66.49,45,2,10.45
18,Timbiqui,CO,2022-01-26 18:51:45,2.7717,-77.6654,82.15,71,100,6.55
19,Hithadhoo,MV,2022-01-26 18:51:46,-0.6,73.0833,81.5,73,100,19.62
20,Ushuaia,AR,2022-01-26 18:47:54,-54.8,-68.3,51.46,66,75,32.21
21,Esperance,AU,2022-01-26 18:51:52,-33.8667,121.9,62.44,86,66,8.72
